,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
12089,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,1.9,2024,98.1
12090,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,4.7,2019,95.3
12091,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,3.5,2020,96.5
12092,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,3.1,2021,96.9
12093,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,3.7,2022,96.3
12094,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,3.9,2023,96.1
12095,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,3.8,2024,96.2
12096,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.3,2019,96.7
12097,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.0,2020,97.0
12098,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,4.0,2021,96.0
12099,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.0,2022,97.0
12100,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.3,2023,96.7
12101,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.6,2024,96.4
12102,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,6.4,2019,93.6
12103,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,5.1,2020,94.9
12104,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,4.1,2021,95.9
12105,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,4.3,2022,95.7
12106,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,4.9,2023,95.1
12107,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,4.3,2024,95.7
12108,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,7.5,2019,92.5
12109,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.9,2020,93.1
12110,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.7,2021,94.3
12111,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.3,2022,93.7
12112,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.7,2023,93.3
12113,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,4.4,2024,95.6
12114,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2.1,2019,97.9
12115,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2.0,2020,98.0
12116,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,1.6,2021,98.4
12117,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2.1,2022,97.9
12118,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,3.0,2023,97.0
12119,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,1.4,2024,98.6
12126,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,8.5,2019,91.5
12127,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.8,2020,93.2
12128,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.5,2021,93.5
12129,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.3,2022,93.7
12130,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,7.5,2023,92.5
12131,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,8.0,2024,92.0
12132,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,12.5,2019,87.5
12133,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,11.6,2020,88.4
12134,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,8.0,2021,92.0
12135,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,9.5,2022,90.5
12136,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,9.7,2023,90.3
12137,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,8.8,2024,91.2
12138,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,14.5,2019,85.5
12139,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,13.2,2020,86.8
12140,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,11.5,2021,88.5
12141,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,9.3,2022,90.7
12142,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,13.2,2023,86.8
12143,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,10.3,2024,89.7
12144,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,29.0,2019,71.0
12145,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,30.6,2020,69.4
12146,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,22.9,2021,77.1
12147,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,20.3,2022,79.7
12148,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,25.9,2023,74.1
12149,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,25.8,2024,74.2
12150,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,15.4,2019,84.6
12151,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,13.4,2020,86.6
12152,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,12.0,2021,88.0
12153,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,11.6,2022,88.4
12154,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,13.1,2023,86.9
12155,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,<100% FPL,11.7,2024,88.3
12156,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,16.1,2019,83.9
12157,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,13.9,2020,86.1
12158,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,10.8,2021,89.2
12159,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,11.7,2022,88.3
12160,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,11.6,2023,88.4
12161,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,11.2,2024,88.8
12162,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,7.1,2019,92.9
12163,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,6.3,2020,93.7
12164,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,5.3,2021,94.7
12165,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,5.0,2022,95.0
12166,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,6.2,2023,93.8
12167,Did not take medication as prescribed to save money,Socioeconomic Characteristic,Poverty level,???200% FPL,6.5,2024,93.5
14976,Has a usual place of care among adults,Total,Total,18 years and older,87.8,2019,12.200000000000003
14977,Has a usual place of care among adults,Total,Total,18 years and older,88.6,2020,11.400000000000006
14978,Has a usual place of care among adults,Total,Total,18 years and older,88.1,2021,11.900000000000006
14979,Has a usual place of care among adults,Total,Total,18 years and older,87.6,2022,12.400000000000006
14980,Has a usual place of care among adults,Total,Total,18 years and older,87.6,2023,12.400000000000006
14981,Has a usual place of care among adults,Total,Total,18 years and older,88.6,2024,11.400000000000006
14982,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,79.4,2019,20.599999999999994
14983,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,79.7,2020,20.299999999999997
14984,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,79.3,2021,20.700000000000003
14985,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,78.9,2022,21.099999999999994
14986,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,80.0,2023,20.0
14987,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,81.7,2024,18.299999999999997
14988,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,86.1,2019,13.900000000000006
14989,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,87.7,2020,12.299999999999997
14990,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,86.3,2021,13.700000000000003
14991,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,85.6,2022,14.400000000000006
14992,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,85.5,2023,14.5
14993,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,86.2,2024,13.799999999999997
14994,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,92.2,2019,7.799999999999997
14995,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,93.0,2020,7.0
14996,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,92.7,2021,7.299999999999997
14997,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,92.3,2022,7.700000000000003
14998,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,91.4,2023,8.599999999999994
14999,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,92.2,2024,7.799999999999997
15000,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,96.2,2019,3.799999999999997
15001,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,96.5,2020,3.5
15002,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,96.5,2021,3.5
15003,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,96.0,2022,4.0
15004,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,95.7,2023,4.299999999999997
15005,Has a usual place of care among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,96.0,2024,4.0
15006,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,81.3,2019,18.700000000000003
15007,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,82.2,2020,17.799999999999997
15008,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,81.6,2021,18.400000000000006
15009,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,80.8,2022,19.200000000000003
15010,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,81.7,2023,18.299999999999997
15011,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,82.8,2024,17.200000000000003
15012,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,91.4,2019,8.599999999999994
15013,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,92.3,2020,7.700000000000003
15014,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,91.5,2021,8.5
15015,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,91.5,2022,8.5
15016,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,90.5,2023,9.5
15017,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,91.5,2024,8.5
15018,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,95.9,2019,4.099999999999994
15019,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,95.9,2020,4.099999999999994
15020,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,96.2,2021,3.799999999999997
15021,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,95.6,2022,4.400000000000006
15022,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,95.1,2023,4.900000000000006
15023,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,95.8,2024,4.200000000000003
15024,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,96.6,2019,3.4000000000000057
15025,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,97.5,2020,2.5
15026,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,97.0,2021,3.0
15027,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,96.6,2022,3.4000000000000057
15028,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,96.4,2023,3.5999999999999943
15029,Has a usual place of care among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,96.3,2024,3.700000000000003
15030,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,91.6,2019,8.400000000000006
15031,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,91.9,2020,8.099999999999994
15032,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,92.3,2021,7.700000000000003
15033,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,91.3,2022,8.700000000000003
15034,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,91.7,2023,8.299999999999997
15035,Has a usual place of care among adults,Demographic Characteristic,Disability status,With disability,91.3,2024,8.700000000000003
15036,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,87.4,2019,12.599999999999994
15037,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,88.3,2020,11.700000000000003
15038,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,87.7,2021,12.299999999999997
15039,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,87.2,2022,12.799999999999997
15040,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,87.2,2023,12.799999999999997
15041,Has a usual place of care among adults,Demographic Characteristic,Disability status,Without disability,88.3,2024,11.700000000000003
15042,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,89.6,2019,10.400000000000006
15043,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,89.9,2020,10.099999999999994
15044,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,89.8,2021,10.200000000000003
15045,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,89.3,2022,10.700000000000003
15046,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,88.9,2023,11.099999999999994
15047,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,89.4,2024,10.599999999999994
15048,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,86.5,2019,13.5
15049,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,87.7,2020,12.299999999999997
15050,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,86.8,2021,13.200000000000003
15051,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,86.2,2022,13.799999999999997
15052,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,86.5,2023,13.5
15053,Has a usual place of care among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,87.8,2024,12.200000000000003
15054,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,91.3,2019,8.700000000000003
15055,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,92.5,2020,7.5
15056,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,91.7,2021,8.299999999999997
15057,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,91.7,2022,8.299999999999997
15058,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,91.2,2023,8.799999999999997
15059,Has a usual place of care among adults,Demographic Characteristic,Marital status,Married,91.9,2024,8.099999999999994
15060,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,88.6,2019,11.400000000000006
15061,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,88.7,2020,11.299999999999997
15062,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,88.9,2021,11.099999999999994
15063,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,88.8,2022,11.200000000000003
15064,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,88.5,2023,11.5
15065,Has a usual place of care among adults,Demographic Characteristic,Marital status,Divorced or separated,89.2,2024,10.799999999999997
15066,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,93.9,2019,6.099999999999994
15067,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,95.4,2020,4.599999999999994
15068,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,95.0,2021,5.0
15069,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,94.2,2022,5.799999999999997
15070,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,94.2,2023,5.799999999999997
15071,Has a usual place of care among adults,Demographic Characteristic,Marital status,Widowed,94.5,2024,5.5
15072,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,77.4,2019,22.599999999999994
15073,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,79.1,2020,20.900000000000006
15074,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,78.1,2021,21.900000000000006
15075,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,76.7,2022,23.299999999999997
15076,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,80.1,2023,19.900000000000006
15077,Has a usual place of care among adults,Demographic Characteristic,Marital status,Living with a partner,81.3,2024,18.700000000000003
15078,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,82.2,2019,17.799999999999997
15079,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,82.1,2020,17.900000000000006
15080,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,81.9,2021,18.099999999999994
15081,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,81.4,2022,18.599999999999994
15082,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,81.6,2023,18.400000000000006
15083,Has a usual place of care among adults,Demographic Characteristic,Marital status,Never married,82.5,2024,17.5
15084,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,88.9,2019,11.099999999999994
15085,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,89.3,2020,10.700000000000003
15086,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,88.7,2021,11.299999999999997
15087,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,88.7,2022,11.299999999999997
15088,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,88.9,2023,11.099999999999994
15089,Has a usual place of care among adults,Demographic Characteristic,Nativity,U.S.-born,89.9,2024,10.099999999999994
15090,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,83.7,2019,16.299999999999997
15091,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,86.0,2020,14.0
15092,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,85.4,2021,14.599999999999994
15093,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,83.8,2022,16.200000000000003
15094,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,83.3,2023,16.700000000000003
15095,Has a usual place of care among adults,Demographic Characteristic,Nativity,Foreign-born,83.7,2024,16.299999999999997
15097,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,87.9,2020,12.099999999999994
15099,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,87.7,2022,12.299999999999997
15100,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,82.7,2023,17.299999999999997
15101,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native only,84.0,2024,16.0
15102,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,89.5,2019,10.5
15103,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,90.3,2020,9.700000000000003
15104,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,88.2,2021,11.799999999999997
15105,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,88.7,2022,11.299999999999997
15106,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,87.8,2023,12.200000000000003
15107,Has a usual place of care among adults,Demographic Characteristic,Race,Asian only,88.8,2024,11.200000000000003
15108,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,85.6,2019,14.400000000000006
15109,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,86.2,2020,13.799999999999997
15110,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,85.9,2021,14.099999999999994
15111,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,86.3,2022,13.700000000000003
15112,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,85.3,2023,14.700000000000003
15113,Has a usual place of care among adults,Demographic Characteristic,Race,Black only,86.7,2024,13.299999999999997
15116,Has a usual place of care among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,81.8,2021,18.200000000000003
15117,Has a usual place of care among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,80.4,2022,19.599999999999994
15118,Has a usual place of care among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,82.9,2023,17.099999999999994
15119,Has a usual place of care among adults,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,78.2,2024,21.799999999999997
15120,Has a usual place of care among adults,Demographic Characteristic,Race,White only,88.7,2019,11.299999999999997
15121,Has a usual place of care among adults,Demographic Characteristic,Race,White only,89.7,2020,10.299999999999997
15122,Has a usual place of care among adults,Demographic Characteristic,Race,White only,89.1,2021,10.900000000000006
15123,Has a usual place of care among adults,Demographic Characteristic,Race,White only,88.7,2022,11.299999999999997
15124,Has a usual place of care among adults,Demographic Characteristic,Race,White only,88.8,2023,11.200000000000003
15125,Has a usual place of care among adults,Demographic Characteristic,Race,White only,90.0,2024,10.0
15126,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,81.6,2019,18.400000000000006
15127,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,75.7,2020,24.299999999999997
15128,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,84.6,2021,15.400000000000006
15129,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,87.4,2022,12.599999999999994
15130,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,87.1,2023,12.900000000000006
15131,Has a usual place of care among adults,Demographic Characteristic,Race,American Indian and Alaska Native and White,90.9,2024,9.099999999999994
15132,Has a usual place of care among adults,Demographic Characteristic,Race,Black and White,77.1,2019,22.900000000000006
15134,Has a usual place of care among adults,Demographic Characteristic,Race,Black and White,70.6,2021,29.400000000000006
15135,Has a usual place of care among adults,Demographic Characteristic,Race,Black and White,78.7,2022,21.299999999999997
15136,Has a usual place of care among adults,Demographic Characteristic,Race,Black and White,76.3,2023,23.700000000000003
15137,Has a usual place of care among adults,Demographic Characteristic,Race,Black and White,81.4,2024,18.599999999999994
15138,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",81.0,2019,19.0
15139,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",83.0,2020,17.0
15140,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",82.6,2021,17.400000000000006
15141,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",80.3,2022,19.700000000000003
15142,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",81.6,2023,18.400000000000006
15143,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",81.9,2024,18.099999999999994
15144,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",80.2,2019,19.799999999999997
15145,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",81.9,2020,18.099999999999994
15146,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",82.1,2021,17.900000000000006
15147,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",80.0,2022,20.0
15148,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",81.5,2023,18.5
15149,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",81.5,2024,18.5
15150,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",89.1,2019,10.900000000000006
15151,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",89.7,2020,10.299999999999997
15152,Has a usual place of care among adults,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",89.2,2021,10.799999999999997
